Name,Gender,Subject A,Subject B,Subject C,Subject D,Subject E,Subject F,Subject G,Subject H,Subject I,Subject J,Subject K,Subject L,Subject M,Subject N,Subject O,Subject P,Subject Q,Subject R,Subject S,Subject T,Subject U,Subject V,Subject W,Subject X,,Below 4,Grades 4 and Below
1,M,-,-,2,3,2,-,3,-,-,3,3,-,-,-,-,-,3,-,5,-,N/A,2,4,-,3,8,9
2,M,-,-,2,3,4,-,-,-,-,5,-,4,4,-,-,-,5,-,6,-,2,1,-,3,3.5,5,8
3,M,C,-,4,4,4,4,-,-,3,3,-,-,-,-,-,7,2,-,7,-,3,-,3,-,4,5,9
4,M,4,-,6,4,4,4,-,-,4,4,-,5,-,-,-,4,2,-,5,-,4,-,-,-,4.2,1,9
5,M,C,-,4,4,2,6,-,-,3,3,-,-,-,-,-,7,4,-,7,-,3,-,4,-,4.3,4,8
6,M,C,-,5,-,4,4,-,-,3,4,-,-,-,-,-,5,4,-,8,4,3,-,3,-,4.3,3,8
7,M,-,-,5,4,4,-,-,-,-,5,-,-,-,6,4,-,4,-,7,-,4,2,-,3,4.4,2,7
8,F,-,6,6,-,6,-,-,4,-,3,3,-,-,-,-,-,4,-,5,-,5,1,5,-,4.4,3,5
9,M,-,5,5,-,3,-,-,-,-,4,-,-,-,6,-,-,5,-,5,-,5,2,5,3,4.4,3,4
10,M,6,-,4,-,5,4,-,-,4,2,-,5,-,-,-,5,4,-,6,-,4,-,4,-,4.4,1,7
11,M,-,-,5,-,5,-,-,-,-,4,-,6,-,-,4,-,6,-,6,-,4,1,5,5,4.6,1,4
12,M,6,-,4,4,3,-,5,-,5,4,-,-,-,-,-,5,5,-,7,-,4,-,-,-,4.7,1,5
13,M,6,-,6,-,4,-,-,-,-,3,-,6,-,5,-,5,3,-,5,-,5,-,5,-,4.8,2,3
14,F,-,6,5,-,5,-,-,-,-,5,-,6,-,-,-,-,5,-,5,-,5,3,5,3,4.8,2,2
15,F,7,-,4,-,4,5,-,7,4,6,-,-,-,4,-,6,2,-,6,-,3,-,-,-,4.8,2,6
16,F,B,-,4,4,5,7,-,-,-,3,-,6,-,-,-,8,4,-,5,4,4,-,-,-,4.9,1,6
17,M,-,-,5,6,5,-,-,-,-,5,-,6,-,-,-,-,6,-,5,-,6,2,5,4,5,1,2
18,M,C,-,5,6,5,4,-,-,-,5,-,5,-,-,-,4,4,-,8,-,5,-,5,-,5.1,0,3
19,M,-,-,5,6,5,-,-,-,-,5,-,6,-,5,-,-,5,-,6,-,5,4,-,4,5.1,0,2
20,F,-,-,5,6,6,-,-,-,4,5,5,7,-,-,-,6,4,-,5,-,5,-,-,-,5.3,0,2
21,M,B,-,7,6,5,4,-,-,5,5,-,5,-,-,-,5,5,-,6,-,6,-,-,-,5.4,0,1
22,M,-,-,6,-,5,-,-,-,-,3,-,7,-,6,-,-,5,-,8,7,5,4,-,3,5.4,2,3
23,M,B,-,5,6,5,5,-,-,4,4,-,-,-,-,8,7,6,-,6,-,4,-,-,-,5.5,0,3
24,F,-,-,5,6,5,-,-,-,5,7,7,6,-,-,-,6,4,-,5,-,4,-,-,-,5.5,0,2
25,M,-,-,6,7,5,-,-,-,-,6,5,-,-,7,7,-,5,-,5,-,5,3,-,-,5.5,1,1
26,F,-,7,6,-,5,-,-,-,-,7,3,6,-,-,-,-,6,-,4,-,4,7,6,-,5.5,1,3
27,M,5,-,7,4,6,-,-,-,-,6,-,5,-,-,-,6,5,-,5,-,6,-,6,-,5.5,0,1
28,M,-,-,6,5,6,-,-,-,-,6,-,-,-,8,-,-,5,-,7,-,6,3,6,3,5.5,2,2
29,M,-,-,6,-,7,-,-,-,-,5,4,6,-,-,-,-,6,-,6,5,6,4,6,-,5.5,0,2
30,M,7,-,7,-,6,4,-,-,-,3,-,7,-,8,-,6,5,-,5,-,5,-,4,-,5.6,1,3
31,M,A,-,6,4,5,5,-,-,-,5,-,-,-,-,-,7,5,-,8,6,6,-,5,-,5.6,0,1
32,M,-,8,5,-,5,-,-,-,6,5,4,-,-,-,-,6,6,-,6,-,5,-,7,-,5.7,0,1
33,M,B,-,5,-,N/A,9,-,-,6,4,-,N/A,-,-,-,9,4,-,5,-,N/A,-,4,-,5.8,0,3
34,F,-,-,7,-,5,-,-,-,-,6,-,8,-,7,-,-,4,-,6,7,6,5,-,3,5.8,1,2
35,F,C,-,5,-,6,-,-,-,6,6,-,6,-,-,-,8,6,-,6,-,5,-,5,-,5.9,0,0
36,M,-,-,7,8,6,-,-,-,8,6,-,-,-,-,-,-,4,-,6,-,6,2,6,-,5.9,1,2
37,F,A,-,6,6,7,4,-,8,-,6,-,6,-,-,-,7,4,-,6,-,5,-,-,-,5.9,0,2
38,M,-,-,7,-,7,-,7,-,-,5,7,7,6,-,-,-,5,-,5,-,7,3,-,-,6,1,1
39,M,-,-,6,6,7,-,-,-,-,6,-,7,-,-,7,-,7,-,6,-,7,3,-,4,6,1,2
40,F,-,-,5,5,8,-,-,6,7,5,5,-,-,-,-,-,8,-,5,-,7,5,-,-,6,0,0
41,F,-,-,5,-,4,-,-,7,6,6,6,7,-,-,-,9,7,-,5,-,4,-,-,-,6,0,2
42,F,-,-,8,-,6,-,-,-,7,5,4,7,-,-,-,6,7,-,5,-,6,-,5,-,6,0,1
43,F,B,-,6,7,5,7,-,-,-,5,-,7,-,-,-,-,6,-,5,-,5,8,6,-,6.1,0,0
44,F,-,-,6,7,8,-,-,-,-,6,-,-,-,-,-,-,6,-,7,6,6,3,8,4,6.1,1,2
45,M,-,-,6,-,7,-,-,-,5,6,6,6,-,-,-,5,6,-,6,-,7,-,7,-,6.1,0,0
46,F,-,9,5,-,5,-,-,-,-,6,6,7,9,-,-,-,4,-,6,-,4,6,-,-,6.1,0,2
47,F,-,-,6,7,7,-,-,-,-,7,5,-,-,-,-,-,7,-,7,7,7,1,6,-,6.1,1,1
48,M,-,7,7,9,6,-,-,-,-,5,-,-,7,-,-,-,7,-,5,-,6,2,-,-,6.1,1,1
49,M,-,-,6,8,6,-,-,-,7,5,-,-,-,6,-,4,7,-,7,-,7,-,-,5,6.2,0,1
50,F,-,-,7,-,6,-,-,-,-,5,5,7,-,-,-,-,6,-,7,7,6,3,9,-,6.2,1,1
51,F,A*,-,6,6,7,8,-,-,5,5,-,-,-,-,-,9,7,-,4,-,5,-,6,-,6.2,0,1
52,F,-,-,7,5,6,-,-,-,-,7,-,7,-,8,-,-,5,-,6,-,5,6,-,6,6.2,0,0
53,F,-,7,6,-,6,-,-,9,-,6,-,-,-,7,-,-,6,-,5,-,6,6,-,4,6.2,0,1
54,F,-,-,7,-,6,-,-,-,6,5,9,8,-,7,-,-,6,-,6,-,6,3,-,-,6.3,1,1
55,M,-,-,5,-,5,-,-,-,-,7,6,8,-,6,-,-,7,-,6,7,6,6,-,-,6.3,0,0
56,M,-,-,5,-,7,-,-,-,-,5,8,-,-,7,6,5,7,-,6,7,6,-,-,-,6.3,0,0
57,M,B,-,6,7,6,-,-,-,7,6,-,6,-,-,-,6,6,-,6,-,7,-,-,-,6.3,0,0
58,M,A,-,6,6,7,7,-,-,6,5,-,-,-,-,-,9,6,-,6,-,7,-,5,-,6.4,0,0
59,F,A,9,6,-,7,6,-,-,-,5,-,6,7,-,-,8,6,-,5,-,6,-,-,-,6.5,0,0
60,F,-,-,6,-,6,-,-,8,-,8,6,8,-,6,-,-,6,-,5,-,5,7,-,-,6.5,0,0
61,M,-,-,8,-,8,-,7,-,-,5,4,-,-,7,-,-,6,-,6,-,8,6,6,-,6.5,0,1
62,F,-,-,6,8,7,-,-,-,7,5,-,7,-,-,-,-,6,-,6,-,9,4,-,6,6.5,0,1
63,M,-,-,8,-,7,-,-,-,6,6,6,8,6,-,-,-,6,-,7,-,7,5,-,-,6.5,0,0
64,M,-,-,8,-,9,-,8,-,7,6,5,7,-,-,-,-,7,-,5,-,7,3,-,-,6.5,1,1
65,M,-,-,7,-,7,-,-,-,7,4,-,7,-,7,-,-,7,-,8,-,6,5,-,8,6.6,0,1
66,F,-,-,9,6,6,-,-,-,-,8,6,7,-,-,-,-,6,-,5,-,6,7,7,-,6.6,0,0
67,F,-,-,6,-,6,-,-,9,-,7,6,7,-,7,-,-,7,-,7,-,6,5,-,-,6.6,0,0
68,F,-,-,8,-,6,-,-,8,6,6,-,7,-,-,-,6,7,-,5,-,7,-,-,7,6.6,0,0
69,F,A,-,7,-,7,-,-,-,-,5,-,-,7,8,-,6,7,-,7,7,6,-,-,-,6.7,0,0
70,M,A,-,9,6,7,4,-,-,7,5,-,8,-,-,-,7,7,-,7,-,7,-,-,-,6.7,0,1
71,F,A,-,6,-,7,7,-,-,-,6,-,7,-,9,-,8,7,-,5,7,5,-,-,-,6.7,0,0
72,F,-,-,7,6,6,-,-,-,-,7,-,8,-,8,-,-,6,-,6,-,6,7,-,7,6.7,0,0
73,F,-,7,8,-,8,-,7,-,-,6,-,-,-,-,-,-,8,-,5,-,8,5,7,6,6.8,0,0
74,M,-,-,7,-,6,-,8,-,7,6,7,-,-,8,-,-,8,-,7,-,6,5,-,-,6.8,0,0
75,M,-,-,9,8,7,-,-,-,8,4,-,7,-,-,-,4,8,-,8,-,7,-,-,6,6.9,0,2
76,F,A,7,8,-,7,7,-,8,-,6,-,8,-,-,-,7,6,-,6,-,6,-,-,-,6.9,0,0
77,F,-,-,8,-,7,-,-,9,-,7,5,7,-,-,-,-,7,-,5,-,8,5,8,-,6.9,0,0
78,M,-,-,6,-,7,-,-,-,8,5,8,-,-,7,-,9,7,-,5,-,7,-,7,-,6.9,0,0
79,M,-,-,8,-,8,-,-,-,-,5,4,-,-,7,-,-,8,-,9,8,6,7,6,-,6.9,0,1
80,M,-,-,7,-,9,-,8,-,-,8,-,-,-,-,-,4,7,8,6,-,7,-,6,7,7,0,1
81,F,-,-,9,7,9,-,8,-,-,5,-,8,-,-,-,-,8,-,6,-,8,3,-,6,7,1,1
82,M,-,-,7,-,8,-,8,-,7,6,5,-,-,9,-,-,8,-,7,-,8,4,-,-,7,0,1
83,F,A,-,6,-,7,7,8,-,8,7,-,-,-,7,-,8,7,-,6,-,6,-,-,-,7,0,0
84,F,-,-,8,7,9,-,8,-,-,4,-,-,-,-,-,-,9,-,7,-,8,4,7,6,7,0,2
85,M,-,-,7,7,7,-,9,-,-,6,-,-,6,-,-,6,8,-,6,-,9,-,-,7,7.1,0,0
86,F,-,8,9,7,7,-,-,-,-,5,-,7,-,-,-,-,6,-,6,-,8,6,-,9,7.1,0,0
87,M,-,-,6,8,6,-,-,8,-,9,-,-,-,8,-,-,5,-,7,-,7,7,-,7,7.1,0,0
88,F,-,7,9,-,8,-,-,8,-,7,-,7,-,-,-,-,7,-,6,-,7,6,-,6,7.1,0,0
89,M,A,-,8,7,7,-,-,-,7,7,-,7,-,-,-,9,7,-,5,-,7,-,-,-,7.1,0,0
90,F,-,-,8,-,7,-,-,-,6,7,-,8,-,9,-,5,7,-,6,-,8,-,-,8,7.2,0,0
91,M,B,-,7,9,8,6,-,-,9,6,-,8,-,-,-,6,7,-,6,-,8,-,-,-,7.3,0,0
92,M,-,-,8,-,7,-,8,-,-,6,-,-,-,7,-,-,6,-,7,-,8,9,8,6,7.3,0,0
93,F,A,-,8,-,6,-,-,8,-,8,-,-,8,7,-,8,7,-,7,-,6,-,-,-,7.3,0,0
94,M,-,-,9,-,9,-,-,-,8,6,6,8,-,-,-,-,7,-,8,-,7,7,6,-,7.4,0,0
95,F,-,-,7,-,7,-,-,-,7,7,-,8,-,8,-,-,9,-,5,-,8,8,-,7,7.4,0,0
96,M,-,-,8,-,9,-,8,-,8,5,8,-,-,8,-,-,8,-,7,-,9,3,-,-,7.4,1,1
97,F,8,-,9,-,8,5,-,9,8,8,-,-,-,8,-,7,7,-,5,-,7,-,-,-,7.4,0,0
98,M,A,-,8,-,8,7,-,-,8,6,-,-,8,8,-,9,6,-,6,-,8,-,-,-,7.5,0,0
99,M,-,-,8,8,9,-,-,-,8,5,7,8,-,-,-,-,9,-,7,-,8,5,-,-,7.5,0,0
100,F,-,-,7,9,8,-,-,-,-,6,7,-,8,8,-,9,7,-,6,-,7,-,-,-,7.5,0,0
101,M,-,-,8,-,8,-,-,8,8,8,-,-,-,7,-,-,7,-,6,-,6,9,-,7,7.5,0,0
102,M,-,-,8,7,9,-,-,-,-,6,-,9,-,-,-,9,7,-,5,-,9,-,7,6,7.5,0,0
103,M,-,-,8,-,9,-,-,-,8,3,-,-,-,7,-,9,9,-,6,-,9,-,8,6,7.5,1,1
104,M,C,-,9,-,8,6,-,-,8,7,-,8,-,-,-,7,8,-,6,-,9,-,7,-,7.5,0,0
105,F,-,-,9,8,9,-,-,-,8,6,-,8,-,-,-,-,8,-,6,-,9,7,-,5,7.5,0,0
